Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Building,ZEBRAlliance House number 1 SIP House,North Axis,-37,-48.1,-25.9,Uniform,Float,G001,
Building,ZEBRAlliance House number 1 SIP House,Loads Convergence Tolerance Value,0.04,0.028,0.052,Uniform,Float,G002,
Building,ZEBRAlliance House number 1 SIP House,Temperature Convergence Tolerance Value,0.4,0.28,0.5,Uniform,Float,G003,
ShadowCalculation,ShadowCalculation,Calculation Frequency,20,14,26,Uniform,Integer,G004,
ShadowCalculation,ShadowCalculation,Maximum Figures in Shadow Overlap Calculations,15000,10500,19500,Uniform,Float,G005,
ConvergenceLimits,ConvergenceLimits,Maximum HVAC Iterations,20,10,30,Uniform,Integer,G006,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,January Ground Temperature,18,15,23.4,Uniform,Float,G007,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,February Ground Temperature,18,15,23.4,Uniform,Float,G008,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,March Ground Temperature,18,15,23.4,Uniform,Float,G009,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,April Ground Temperature,18,15,23.4,Uniform,Float,G010,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,May Ground Temperature,18,15,23.4,Uniform,Float,G011,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,June Ground Temperature,18,15,23.4,Uniform,Float,G012,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,July Ground Temperature,18,15,23.4,Uniform,Float,G013,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,August Ground Temperature,18,15,23.4,Uniform,Float,G014,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,September Ground Temperature,18,15,23.4,Uniform,Float,G015,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,October Ground Temperature,18,15,23.4,Uniform,Float,G016,
Site:GroundTemperature:BuildingSurface,Site:GroundTemperature:BuildingSurface,November Ground Temperature,18,15,23.4,Uniform,Float,G017,
