Month and Date,Hour and Minute,Basement Zone Temperature,Living Room Zone Temperature,Master Bedroom Zone Temperature,2nd Floor Bedroom Zone Temperature,WWHP Total Energy,WAHP Total Energy,WAHP Auxilliary Heat Energy,IHP Indoor Fan Energy,Dryer Energy,Oven/Microwave Energy,Dishwasher Energy,Refrigerator Energy,Kitchen Plugs Energy,Clother Washer Energy,Bathroom Lights (1st and 2nd floor)Energy,Bathroom Plugs (Heater on 2nd floor) Energy,Bedroom Lights and Plugs (master and 2nd floor bed rooms) Energy,Outside Lights Energy,Level 1 Lights (kitchen and dining) Energy,Diding Room Plugs (1st floor heater) Energy,Basement Plugs Energy,ERV Energy,Basement Zone RH,Living Room Zone RH,Master Bedroom Zone RH,2nd Floor Bedroom Zone RH
Blank,Blank,Deg C,Deg C,Deg C,Deg C,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,%RH,%RH,%RH,%RH
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28
1-Jan-10,1:00,21.488,21.329,21.556,21.568,0.0043125,0.05438,0,0,0.000125,0.045,0,0.182516667,0.3,0.015,0.07375,0.006,0.11,0.035,0.0409375,0.00234375,0.517525,0.13614,46.150,46.908,48.603,46.473
1-Jan-10,2:00,21.482,21.589,21.578,21.874,0.0045,0.07261,0,0,0.000125,0.0425,0,0.187916667,0.3,0.014375,0.073125,0.62816,0.109375,0.035,0.0409375,0.23563125,0.528475,0.136135,46.310,46.273,48.400,45.995
1-Jan-10,3:00,21.551,21.438,21.635,21.869,0.0043125,0.037875,0,0,0,0.0425,0,0.1696,0.3,0.014375,0.07375,0.6276,0.11,0.035,0.04125,0.23534375,0.5322,0.13594,46.215,46.778,48.143,45.978
1-Jan-10,4:00,21.518,21.294,21.55,21.774,0.0045,0.0495,0,0,0.000125,0.0425,0,0.138766667,0.3,0.014375,0.073125,0.60665,0.11,0.03375,0.0409375,0.20671875,0.529725,0.13574,46.140,47.048,48.143,46.130
1-Jan-10,5:00,21.525,21.222,21.533,21.665,0.0043125,0.038705,0,0,0.000125,0.0425,0,0.138783333,0.3,0.014375,0.07375,0.60656,0.109375,0.035,0.040625,0.20659375,0.582525,0.13514,45.990,47.063,47.968,46.123
1-Jan-10,6:00,21.422,21.374,21.5,21.743,0.0043125,0.07089,0,0,0.000125,0.0425,0,0.13875,0.3,0.014375,0.073125,0.606,0.109375,0.035,0.0409375,0.20515625,0.5266,0.134435,46.183,46.555,47.960,45.948
1-Jan-10,7:00,21.513,21.438,21.557,21.835,0.0043125,0.054375,0,0,0.000125,0.0425,0,0.162083333,0.3,0.014375,0.165,0.6255,0.40755,0.035,0.0409375,0.23390625,0.527225,0.13444,46.060,46.490,47.795,45.768
1-Jan-10,8:00,21.563,21.267,21.485,21.664,0.324025,0.05326,0,0,0.00025,0.0425,0,0.187516667,0.275,0.014375,0.2244,0.4434,0.376275,0.03375,0.0409375,0.406125,0.415975,0.39868,45.713,46.638,47.865,45.530
1-Jan-10,9:00,21.586,21.35,21.576,21.742,0.0571875,0.04253,0,0,0.000125,0.0425,0,0.185883333,0.3,0.014375,0.073125,0.37801,0.109375,0.035,0.2297,0.43500625,0.362825,0.133835,45.645,46.583,48.600,45.758
1-Jan-10,10:00,21.482,21.485,21.824,22.033,0.0043125,0.03728,0,0,0.000125,0.04,0,0.138766667,0.3,0.014375,0.073125,0.1925,0.10875,0.035,0.1109625,0.319875,0.38,0.13384,45.920,46.408,48.478,45.630
1-Jan-10,11:00,21.611,21.733,22.222,22.425,0.004125,0.03091,0,0,0.000125,0.0425,0,0.139183333,0.3,0.014375,0.073125,0.1716,0.109375,0.03375,0.09,0.26246875,0.496575,0.13283,45.715,46.028,47.655,44.858
1-Jan-10,12:00,21.51,21.643,22.208,22.297,0.0043125,0.03871,0,0,0.000125,0.0425,0,0.139183333,0.275,0.014375,0.073125,0.1715,0.10875,0.035,0.0897125,0.2615625,0.428775,0.133035,45.993,46.298,47.315,45.005
1-Jan-10,13:00,21.575,21.613,22.214,22.357,0.2747,0.02468,0,0,0,0.0425,0,0.1542,0.3,0.014375,0.073125,0.1732,0.10875,0.035,0.089375,0.26221875,0.40065,0.132635,45.873,46.405,47.493,44.873
1-Jan-10,14:00,21.56,21.643,22.163,22.339,0.0043125,0.04568,0,0,0.000125,0.04,0,0.188766667,0.3,0.014375,0.073125,0.17176,0.109375,0.035,0.089375,0.26203125,0.385,0.132835,45.895,46.410,48.030,45.008
1-Jan-10,15:00,21.489,21.694,22.071,22.299,0.004125,0.031125,0,0,0.00025,0.0425,0,0.193366667,0.275,0.014375,0.073125,0.17145,0.10875,0.03375,0.0900125,0.2623125,0.508475,0.133035,46.068,46.353,48.233,45.065
1-Jan-10,16:00,21.572,21.781,21.992,22.228,0.0043125,0.037135,0,0,0.000125,0.0425,0,0.143783333,0.3,0.014375,0.073125,0.17226,0.109375,0.035,0.0897125,0.2631625,0.5291,0.13303,45.840,46.128,47.920,45.158
1-Jan-10,17:00,21.528,21.789,21.931,22.178,0.004125,0.047105,0,0,0.000125,0.0425,0,0.13295,0.3,0.014375,0.07375,0.1925,0.109375,0.035,0.1459375,0.29184375,0.528775,0.13428,45.855,46.098,47.690,45.290
1-Jan-10,18:00,21.49,21.593,21.872,22.028,0.2091,0.0333,0,0,0.000125,0.04,0,0.1325,0.275,0.01375,0.0725,0.23425,0.108125,0.03375,0.2747125,0.37585,0.437225,0.13218,45.833,46.410,47.905,45.403
1-Jan-10,19:00,21.574,21.5,21.738,21.907,0.0043125,0.042305,0,0,0.000125,0.0425,0,0.160433333,0.3,0.014375,0.073125,0.31521,0.10875,0.035,0.355025,0.54896875,0.5272,0.13243,45.463,46.468,48.208,45.468
1-Jan-10,20:00,21.483,21.415,21.674,21.806,0.004125,0.04673,0,0,0.000125,0.04,0,0.19335,0.3,0.014375,0.073125,0.31531,0.10875,0.035,0.433825,0.69259375,0.510025,0.13263,45.523,46.543,47.960,45.593
1-Jan-10,21:00,21.543,21.4,21.59,21.754,0.0043125,0.04261,0,0,0.00025,0.0425,0,0.155433333,0.275,0.014375,0.073125,0.31476,0.2632,0.47,0.122225,0.69259375,0.526575,0.13243,45.200,46.370,47.805,45.473
1-Jan-10,22:00,21.465,21.321,21.442,21.639,0.305275,0.06661,0,0,0.000125,0.04,0,0.127933333,0.3,0.01375,0.073125,0.31836,0.290025,0.03375,0.3887,0.6620625,0.527825,0.499365,44.948,45.868,47.005,45.058
1-Jan-10,23:00,21.543,21.431,21.553,21.764,0.0043125,0.057235,0,0,0.00025,0.0425,0,0.12625,0.275,0.014375,0.33315,0.29476,0.292525,0.035,0.134425,0.63396875,0.52565,0.13303,44.825,45.648,48.173,45.053
1-Jan-10,24:00:00,21.431,21.29,21.471,21.718,0.0043125,0.07179,0,0,0.000125,0.0425,0,0.179616667,0.3,0.014375,0.2988,0.477,0.153775,0.035,0.0409375,0.46359375,0.442225,0.13363,45.013,45.920,47.963,45.115
2-Jan-10,1:00,21.425,21.257,21.432,21.676,0.0043125,0.07164,0,0,0.000125,0.04,0,0.187116667,0.3,0.014375,0.073125,0.00575,0.109375,0.03375,0.040625,0.0021875,0.3619,0.13423,44.983,45.873,47.703,45.095
2-Jan-10,2:00,21.322,21.242,21.394,21.764,0.0043125,0.0714,0,0,0.00025,0.0425,0,0.150016667,0.275,0.014375,0.073125,0.6272,0.10875,0.035,0.040625,0.2344375,0.3619,0.134485,44.973,45.725,47.470,44.798
2-Jan-10,3:00,21.206,21.282,21.46,21.899,0.0043125,0.07044,0,0,0.000125,0.0425,0,0.126283333,0.3,0.014375,0.073125,0.6252,0.10875,0.03375,0.0409375,0.233,0.3619,0.134235,45.103,45.538,47.183,44.495
2-Jan-10,4:00,21.272,21.397,21.444,21.942,0.0043125,0.08356,0,0,0.000125,0.04,0,0.1325,0.3,0.014375,0.073125,0.60445,0.10875,0.035,0.040625,0.20409375,0.5069,0.133635,44.845,45.143,47.115,44.275
2-Jan-10,5:00,21.349,21.365,21.504,21.722,0.004125,0.07156,0,0,0.00025,0.0425,0,0.17295,0.275,0.01375,0.073125,0.60416,0.10875,0.035,0.040625,0.2035625,0.5297,0.13283,44.683,45.198,46.848,44.450
2-Jan-10,6:00,21.444,21.257,21.408,21.561,0.0043125,0.07172,0,0,0.000125,0.04,0,0.1871,0.3,0.014375,0.073125,0.60371,0.108125,0.03375,0.040625,0.20359375,0.526575,0.13283,44.345,45.328,46.813,44.685
2-Jan-10,7:00,21.418,21.192,21.364,21.465,0.0043125,0.07148,0,0,0.00025,0.0425,0,0.155,0.275,0.014375,0.162525,0.62386,0.399375,0.035,0.040625,0.23185,0.528125,0.13178,44.243,45.313,46.708,44.743
2-Jan-10,8:00,21.396,21.057,21.242,21.344,0.312375,0.06534,0,0,0.000125,0.04,0,0.131283333,0.3,0.01375,0.218125,0.6659,0.368775,0.03375,0.040625,0.28784375,0.4097,0.498315,43.853,45.173,46.275,44.478
2-Jan-10,9:00,21.443,21.14,21.226,21.354,0.070875,0.07112,0,0,0.00025,0.04,0,0.125833333,0.275,0.014375,0.073125,0.4383,0.1075,0.035,0.2253125,0.43015625,0.36065,0.13012,43.558,44.880,47.323,44.518
2-Jan-10,10:00,21.371,21.151,21.244,21.379,0.004125,0.07119,0,0,0.000125,0.04,0,0.172516667,0.275,0.01375,0.0725,0.19126,0.108125,0.03375,0.1100125,0.430875,0.441275,0.13053,43.820,44.980,47.580,44.633
2-Jan-10,11:00,21.558,21.443,21.538,21.879,0.0043125,0.07134,0,0,0.0735,0.0425,0,0.193366667,0.3,0.014375,0.073125,0.1718,0.108125,0.035,0.0894,0.35388125,0.40815,0.13238,43.283,44.405,46.675,43.933
2-Jan-10,12:00,21.494,21.418,21.918,22.114,0.004125,0.03466,0,0,0.07,0.0425,0,0.138333333,0.3,0.014375,0.073125,0.1722,0.10875,0.03375,0.0896875,0.348875,0.363775,0.134035,43.648,44.620,45.775,43.585
2-Jan-10,13:00,21.549,21.236,21.842,21.953,0.2976,0.05138,0,0,0.000125,0.04,0,0.132933333,0.275,0.01375,0.073125,0.174,0.10875,0.035,0.089375,0.35075625,0.4197,0.134685,43.408,44.985,46.265,43.713
2-Jan-10,14:00,21.556,21.425,21.861,21.897,0.0043125,0.052655,0,0,0.000125,0.0425,0,0.132933333,0.3,0.014375,0.073125,0.17252,0.109375,0.035,0.0897,0.35034375,0.4147,0.13513,43.555,44.755,46.950,43.863
