Date/Time,Whole Building:Total Building Electric Demand [W](TimeStep) 
 01/01  00:15:00,798.3324828
 01/01  00:30:00,434.521692
 01/01  00:45:00,1190.015224
 01/01  01:00:00,1185.370821
 01/01  01:15:00,1184.238615
 01/01  01:30:00,1182.251065
 01/01  01:45:00,1183.207085
 01/01  02:00:00,1185.389366
 01/01  02:15:00,714.8794356
 01/01  02:30:00,469.6871931
 01/01  02:45:00,1190.784992
 01/01  03:00:00,-1
 01/01  03:15:00,986.342013
 01/01  03:30:00,716.5127322
 01/01  03:45:00,391.1538834
 01/01  04:00:00,1193.211331
 01/01  04:15:00,204.5150136
 01/01  04:30:00,1026.447173
 01/01  04:45:00,1188.870557
 01/01  05:00:00,125.87877
 01/01  05:15:00,1146.378874
 01/01  05:30:00,1182.914443
 01/01  05:45:00,1185.652544
 01/01  06:00:00,1184.369117
 01/01  06:15:00,1185.023966
 01/01  06:30:00,1183.250868
 01/01  06:45:00,477.89946
 01/01  07:00:00,706.4012313
 01/01  07:15:00,1183.657003
 01/01  07:30:00,0
 01/01  07:45:00,1132.405832
 01/01  08:00:00,1145.640731
 01/01  08:15:00,921.823443
 01/01  08:30:00,-1
 01/01  08:45:00,1172.242079
 01/01  09:00:00,629.5420701
 01/01  09:15:00,426.8897118
 01/01  09:30:00,1185.827122
 01/01  09:45:00,163.380447
 01/01  10:00:00,664.4364507
 01/01  10:15:00,756.3446406
 01/01  10:30:00,0
 01/01  10:45:00,1062.06154
 01/01  11:00:00,202.4523243
 01/01  11:15:00,550.5323139
 01/01  11:30:00,955.4166108
 01/01  11:45:00,0
 01/01  12:00:00,1107.800726
 01/01  12:15:00,361.3207284
 01/01  12:30:00,417.1763106
 01/01  12:45:00,812.6124066
 01/01  13:00:00,0
 01/01  13:15:00,976.2823908
 01/01  13:30:00,438.673617
 01/01  13:45:00,429.7327704
 01/01  14:00:00,1189.746329
 01/01  14:15:00,0
 01/01  14:30:00,986.6795769
 01/01  14:45:00,439.6184289
 01/01  15:00:00,673.9607412
 01/01  15:15:00,836.9946522
 01/01  15:30:00,270.3035088
 01/01  15:45:00,1193.92976
 01/01  16:00:00,-1
 01/01  16:15:00,867.681207
 01/01  16:30:00,640.1521611
 01/01  16:45:00,471.3426468
 01/01  17:00:00,1152.912268
 01/01  17:15:00,-1
 01/01  17:30:00,1178.903454
 01/01  17:45:00,392.389983
 01/01  18:00:00,576.9839745
 01/01  18:15:00,1064.857332
 01/01  18:30:00,0
 01/01  18:45:00,1179.634253
 01/01  19:00:00,519.075513
 01/01  19:15:00,666.5323482
 01/01  19:30:00,1189.616941
 01/01  19:45:00,83.857662
 01/01  20:00:00,1142.573126
 01/01  20:15:00,637.2116478
 01/01  20:30:00,590.4047682
 01/01  20:45:00,1191.005033
 01/01  21:00:00,400.9400739
 01/01  21:15:00,900.8032446
 01/01  21:30:00,1163.813232
 01/01  21:45:00,1146.851436
 01/01  22:00:00,1145.873471
 01/01  22:15:00,1164.731238
 01/01  22:30:00,1173.732225
 01/01  22:45:00,1176.258057
 01/01  23:00:00,-1
 01/01  23:15:00,1178.928849
 01/01  23:30:00,1177.646513
 01/01  23:45:00,1175.24992
 01/01  24:00:00,1177.988407
 01/02  00:15:00,1177.738025
 01/02  00:30:00,1176.639977
 01/02  00:45:00,1175.515013
 01/02  01:00:00,1175.991308
 01/02  01:15:00,1174.169629
 01/02  01:30:00,1174.52431
 01/02  01:45:00,1174.244295
 01/02  02:00:00,1173.535479
 01/02  02:15:00,1172.585366
 01/02  02:30:00,1172.936105
 01/02  02:45:00,1172.66563
 01/02  03:00:00,1136.016398
 01/02  03:15:00,-1
 01/02  03:30:00,1621.502924
 01/02  03:45:00,1608.970567
 01/02  04:00:00,-1
 01/02  04:15:00,1166.627616
 01/02  04:30:00,1168.518755
 01/02  04:45:00,1168.476242
 01/02  05:00:00,1172.423241
 01/02  05:15:00,1173.132651
 01/02  05:30:00,1172.571877
 01/02  05:45:00,1173.132651
 01/02  06:00:00,1173.872697
 01/02  06:15:00,1172.222838
 01/02  06:30:00,1172.025227
 01/02  06:45:00,1173.47586
 01/02  07:00:00,1172.03474
 01/02  07:15:00,820.6372017
 01/02  07:30:00,1152.172389
 01/02  07:45:00,1136.945763
 01/02  08:00:00,1132.426616
 01/02  08:15:00,1136.378646
 01/02  08:30:00,1152.898755
 01/02  08:45:00,1161.492789
 01/02  09:00:00,1163.888262
 01/02  09:15:00,1166.201579
 01/02  09:30:00,1166.345198
 01/02  09:45:00,1166.426009
 01/02  10:00:00,1167.476498
 01/02  10:15:00,1157.898352
 01/02  10:30:00,1166.670432
 01/02  10:45:00,1168.476293
 01/02  11:00:00,1167.695406
 01/02  11:15:00,160.7108508
 01/02  11:30:00,1009.760369
 01/02  11:45:00,781.5302928
 01/02  12:00:00,344.8863153
 01/02  12:15:00,1168.047578
 01/02  12:30:00,347.3451729
 01/02  12:45:00,639.4197186
 01/02  13:00:00,1145.927972
 01/02  13:15:00,1160.617662
 01/02  13:30:00,1164.218018
 01/02  13:45:00,509.3061516
 01/02  14:00:00,579.9302181
 01/02  14:15:00,1174.078182
 01/02  14:30:00,316.0357659
 01/02  14:45:00,934.9654932
 01/02  15:00:00,981.3610566
 01/02  15:15:00,347.3563311
 01/02  15:30:00,1178.362576
 01/02  15:45:00,589.3096437
 01/02  16:00:00,739.2828213
 01/02  16:15:00,1178.126458
 01/02  16:30:00,473.8644108
 01/02  16:45:00,897.5917809
 01/02  17:00:00,1177.938238
 01/02  17:15:00,355.2815979
 01/02  17:30:00,992.1827466
 01/02  17:45:00,1139.329369
 01/02  18:00:00,1152.451332
 01/02  18:15:00,1161.250622
 01/02  18:30:00,1163.292768
 01/02  18:45:00,1164.380303
 01/02  19:00:00,1164.697
 01/02  19:15:00,1166.198598
 01/02  19:30:00,1164.894923
 01/02  19:45:00,1165.372924
 01/02  20:00:00,1165.318682
 01/02  20:15:00,1165.077198
 01/02  20:30:00,1168.338707
 01/02  20:45:00,1167.151445
 01/02  21:00:00,1168.209774
