Date/Time,Whole Building:Total Building Electric Demand [W](TimeStep) 
 01/01  01:00:00,29475.26568
 01/01  02:00:00,29066.60748
 01/01  03:00:00,31808.41584
 01/01  04:00:00,29611.10762
 01/01  05:00:00,32200.57495
 01/01  06:00:00,29767.8703
 01/01  07:00:00,32338.71734
 01/01  08:00:00,23888.34606
 01/01  09:00:00,23014.02793
 01/01  10:00:00,20315.32563
 01/01  11:00:00,21922.33968
 01/01  12:00:00,19004.81226
 01/01  13:00:00,19932.14133
 01/01  14:00:00,17724.01885
 01/01  15:00:00,19124.19884
 01/01  16:00:00,17529.0666
 01/01  17:00:00,25147.29806
 01/01  18:00:00,26683.27448
 01/01  19:00:00,28814.32393
 01/01  20:00:00,27359.82139
 01/01  21:00:00,29051.89026
 01/01  22:00:00,27237.81682
 01/01  23:00:00,29330.85956
 01/01  24:00:00,27541.63591
 01/02  01:00:00,29910.0784
 01/02  02:00:00,28327.33241
 01/02  03:00:00,30528.31174
 01/02  04:00:00,28425.00366
 01/02  05:00:00,30514.4275
 01/02  06:00:00,28344.38149
 01/02  07:00:00,40015.80679
 01/02  08:00:00,74639.0119
 01/02  09:00:00,110715.1473
 01/02  10:00:00,134709.059
 01/02  11:00:00,134709.059
 01/02  12:00:00,134709.059
 01/02  13:00:00,121725.3055
 01/02  14:00:00,134709.059
 01/02  15:00:00,134709.059
 01/02  16:00:00,134709.059
 01/02  17:00:00,140657.7257
 01/02  18:00:00,54274.20834
 01/02  19:00:00,26146.70812
 01/02  20:00:00,27801.05781
 01/02  21:00:00,26526.4356
 01/02  22:00:00,27879.6036
 01/02  23:00:00,26293.37509
 01/02  24:00:00,27778.93666
 01/03  01:00:00,26742.22532
 01/03  02:00:00,28459.13745
 01/03  03:00:00,27313.19161
 01/03  04:00:00,29030.22693
 01/03  05:00:00,27452.82741
 01/03  06:00:00,29297.94747
 01/03  07:00:00,39633.06027
 01/03  08:00:00,74713.418
 01/03  09:00:00,110715.1473
 01/03  10:00:00,134684.257
 01/03  11:00:00,134709.059
 01/03  12:00:00,134709.059
 01/03  13:00:00,121725.3055
 01/03  14:00:00,134709.059
 01/03  15:00:00,134709.059
 01/03  16:00:00,134709.059
 01/03  17:00:00,140657.7257
 01/03  18:00:00,54445.09266
 01/03  19:00:00,26533.07167
 01/03  20:00:00,28462.01059
 01/03  21:00:00,27036.87718
 01/03  22:00:00,28945.28454
 01/03  23:00:00,27573.71016
 01/03  24:00:00,29438.62717
 01/04  01:00:00,27714.46072
 01/04  02:00:00,29633.91471
 01/04  03:00:00,28028.93526
 01/04  04:00:00,30190.29621
 01/04  05:00:00,28488.73089
 01/04  06:00:00,30267.9373
 01/04  07:00:00,40015.80679
 01/04  08:00:00,74639.0119
 01/04  09:00:00,110665.5432
 01/04  10:00:00,134709.059
 01/04  11:00:00,134709.059
 01/04  12:00:00,134709.059
 01/04  13:00:00,121725.3055
 01/04  14:00:00,134709.059
 01/04  15:00:00,134709.059
 01/04  16:00:00,134709.059
 01/04  17:00:00,140657.7257
 01/04  18:00:00,55415.22989
 01/04  19:00:00,27507.63172
 01/04  20:00:00,29937.78769
 01/04  21:00:00,28291.22015
 01/04  22:00:00,31120.95733
 01/04  23:00:00,29049.7504
 01/04  24:00:00,31246.45026
 01/05  01:00:00,29324.13878
 01/05  02:00:00,31753.24598
 01/05  03:00:00,29258.59403
 01/05  04:00:00,31574.73803
 01/05  05:00:00,29877.35396
 01/05  06:00:00,33180.77173
 01/05  07:00:00,40015.80679
 01/05  08:00:00,75041.60006
 01/05  09:00:00,111018.5273
 01/05  10:00:00,134962.835
 01/05  11:00:00,134962.835
 01/05  12:00:00,134694.4429
 01/05  13:00:00,121576.4933
 01/05  14:00:00,134634.6529
 01/05  15:00:00,134709.059
 01/05  16:00:00,134709.059
 01/05  17:00:00,140632.9237
 01/05  18:00:00,56286.22855
 01/05  19:00:00,28461.09102
 01/05  20:00:00,31162.75026
 01/05  21:00:00,29337.50506
 01/05  22:00:00,31868.19905
 01/05  23:00:00,29695.36699
 01/05  24:00:00,32350.79327
 01/06  01:00:00,30213.47969
 01/06  02:00:00,32929.14071
 01/06  03:00:00,30376.87636
 01/06  04:00:00,33112.10636
 01/06  05:00:00,30705.52403
 01/06  06:00:00,33604.98308
 01/06  07:00:00,40015.80679
 01/06  08:00:00,75041.60006
 01/06  09:00:00,111018.5273
 01/06  10:00:00,134962.835
 01/06  11:00:00,134962.835
 01/06  12:00:00,134761.5409
 01/06  13:00:00,121576.4933
 01/06  14:00:00,134585.0489
 01/06  15:00:00,134585.0489
 01/06  16:00:00,134609.8509
 01/06  17:00:00,140508.9135
 01/06  18:00:00,58015.80628
 01/06  19:00:00,30278.74774
 01/06  20:00:00,33535.82141
 01/06  21:00:00,31157.89695
 01/06  22:00:00,34003.64453
 01/06  23:00:00,31964.6463
 01/06  24:00:00,34777.73233
 01/07  01:00:00,32357.50373
 01/07  02:00:00,34952.61422
 01/07  03:00:00,32357.39118
 01/07  04:00:00,35196.67923
 01/07  05:00:00,32733.0737
 01/07  06:00:00,35351.09766
 01/07  07:00:00,32746.92634
 01/07  08:00:00,34067.14013
 01/07  09:00:00,33116.00615
 01/07  10:00:00,52507.1807
 01/07  11:00:00,52507.1807
 01/07  12:00:00,52507.1807
 01/07  13:00:00,31092.80679
 01/07  14:00:00,31092.80679
 01/07  15:00:00,31092.80679
 01/07  16:00:00,31092.80679
 01/07  17:00:00,26558.67242
 01/07  18:00:00,30588.58319
 01/07  19:00:00,33599.33582
 01/07  20:00:00,31464.71808
 01/07  21:00:00,34085.01329
 01/07  22:00:00,31836.78191
 01/07  23:00:00,34527.89106
 01/07  24:00:00,32013.87555
 01/08  01:00:00,34741.97173
 01/08  02:00:00,32321.67354
 01/08  03:00:00,35033.99103
 01/08  04:00:00,32500.05238
 01/08  05:00:00,35170.73309
 01/08  06:00:00,32641.86773
 01/08  07:00:00,35238.68349
 01/08  08:00:00,26664.04021
 01/08  09:00:00,25923.09461
 01/08  10:00:00,22628.81598
 01/08  11:00:00,24162.97848
 01/08  12:00:00,20859.16812
 01/08  13:00:00,22301.72696
 01/08  14:00:00,20244.66975
 01/08  15:00:00,22384.99126
 01/08  16:00:00,20278.22117
 01/08  17:00:00,26894.38242
 01/08  18:00:00,29959.82058
 01/08  19:00:00,32559.31406
 01/08  20:00:00,30451.9843
 01/08  21:00:00,32800.96173
 01/08  22:00:00,30630.12332
 01/08  23:00:00,33314.30481
 01/08  24:00:00,30951.74385
 01/09  01:00:00,33177.77446
 01/09  02:00:00,31004.6086
 01/09  03:00:00,33394.25196
 01/09  04:00:00,30881.91383
 01/09  05:00:00,33185.13161
 01/09  06:00:00,30843.98165
 01/09  07:00:00,40015.80679
 01/09  08:00:00,75041.60006
 01/09  09:00:00,111018.5273
 01/09  10:00:00,134895.737
 01/09  11:00:00,134560.2468
 01/09  12:00:00,134659.4549
 01/09  13:00:00,121725.3055
 01/09  14:00:00,134709.059
 01/09  15:00:00,134709.059
 01/09  16:00:00,134709.059
 01/09  17:00:00,139170.559
 01/09  18:00:00,54732.00843
 01/09  19:00:00,26772.53986
